	Home Team	Away Team	Home Win	Draw	Away Win	site
0	leeds united	burnley	1.78	3.97	4.25	betway
1	west ham	brighton	2.38	3.36	3.01	betway
2	liverpool	west brom	1.16	7.81	16.65	betway
3	wolverhampton	tottenham	3.49	3.22	2.21	betway
4	utrecht	az alkmaar	2.76	3.84	2.29	betway
5	gaziantep fk	alanyaspor	2.66	3.36	2.40	betway
6	royal antwerp	r charleroi	2.21	3.34	3.26	betway
7	denizlispor	mke ankaragucu	2.30	3.08	3.02	betway
8	yeni malatyaspor	buyuksehir belediye erzurumspor	1.60	3.73	5.11	betway
9	genk	waasland-beveren	1.33	5.47	7.96	betway
10	istanbul basaksehir	kasimpasa	1.50	4.33	5.19	betway
11	anderlecht	k beerschot va	1.68	4.03	4.65	betway
12	kv mechelen	royal excel mouscron	1.59	4.13	5.32	betway
13	belediyespor	keciorengucu	4.28	3.38	1.75	betway
14	adanaspor	bandirmaspor	3.22	3.06	2.16	betway
15	belediyespor	giresunspor	3.96	3.36	1.82	betway
16	ankaraspor	samsunspor	6.64	4.09	1.42	betway
17	nacional madeira	tondela	2.01	3.29	3.87	betway
18	famalicao	gil vicente	2.80	3.03	2.68	betway
19	sporting farense	pacos ferreira	2.85	3.12	2.58	betway
