	Home Team	Away Team	Home Win	Draw	Away Win	site
0	leeds united	burnley	1.79	3.99	4.27	mbet
1	west ham united	brighton & hove albion	2.41	3.37	3.03	mbet
2	liverpool	west bromwich albion	1.16	8.05	17.09	mbet
3	wolverhampton wanderers	tottenham hotspur	3.50	3.23	2.24	mbet
4	utrecht	az alkmaar	2.80	3.90	2.33	mbet
5	gaziantep fk	alanyaspor	2.82	3.48	2.50	mbet
6	menemen belediyespor	keciorengucu	3.97	3.25	1.78	mbet
7	police tero	trat	1.54	3.92	4.56	mbet
8	gd chaves	academica de coimbra	1.81	3.00	4.23	mbet
9	ac reggiana	reggina 1914	2.56	2.88	2.60	mbet
10	samut prakan city	port	3.29	3.40	1.91	mbet
11	nakhon ratchasima	rayong	1.57	3.61	4.84	mbet
12	abha	al wehda	2.50	3.11	2.50	mbet
13	al ain	al taawoun	2.72	3.04	2.35	mbet
14	ks kastrioti kruje	kf laci	3.07	2.77	2.29	mbet
15	adanaspor	bandirmaspor	3.09	2.94	2.18	mbet
16	akhisar bld spor	giresunspor	3.96	3.15	1.81	mbet
17	al ahli doha	al duhail	5.91	4.28	1.39	mbet
18	denizlispor	mke ankaragucu	2.37	3.25	3.20	mbet
19	es metlaoui	js kairouanaise	1.74	2.95	4.82	mbet
20	etoile sportive du sahel	us monastir	1.77	2.97	4.53	mbet
21	kabwe warriors	forest rangers	2.95	2.81	2.34	mbet
22	power dynamos	zanaco	2.44	2.67	2.97	mbet
23	stade tunisien	rejiche	1.95	2.90	3.79	mbet
24	us ben guerdane	esperance sportive de tunis	5.22	3.00	1.67	mbet
25	yeni malatyaspor	buyuksehir belediye erzurumspor	1.65	3.95	5.42	mbet
26	nc magra	ol medea	2.29	2.60	3.33	mbet
27	union espanola	cd antofagasta	1.95	3.44	3.13	mbet
28	us biskra	js kabylie	2.72	2.59	2.72	mbet
29	as ain mlila	ca bordj bou arreridj	1.78	2.87	4.69	mbet
30	ascoli calcio 1898	spal	3.94	3.18	1.81	mbet
31	aso chlef	usm bel abbes	1.71	3.00	4.87	mbet
32	cosenza calcio	sc pisa	2.09	3.01	3.22	mbet
33	es setif	paradou ac	1.74	3.09	4.42	mbet
34	penafiel	sl benfica b	2.15	3.04	3.04	mbet
35	kerala blasters	hyderabad	2.97	2.93	2.25	mbet
36	mc oran	rc relizane	1.79	2.84	4.71	mbet
37	us lecce	lr vicenza virtus	1.61	3.66	4.36	mbet
38	usm alger	na hussein dey	1.60	3.15	5.59	mbet
39	venezia	sportiva salernitana	2.00	2.94	3.54	mbet
40	virtus entella	delfino pescara 1936	2.87	2.87	2.35	mbet
41	wa tlemcen	jsm skikda	1.73	3.08	4.51	mbet
42	al ahed	nejmeh	3.25	3.05	2.05	mbet
43	cr khemis zemamra	ittihad tanger	2.86	2.61	2.57	mbet
44	al fateh	al faisaly	2.31	3.09	2.73	mbet
45	al raed	al ahli saudi	3.12	3.21	2.04	mbet
46	al hidd	busaiteen	1.50	3.78	5.24	mbet
47	al-riffa	malkiya	1.26	4.63	8.73	mbet
48	cd nacional madeira	cd tondela	2.05	3.34	3.94	mbet
49	atletico palmaflor	jorge wilstermann	5.27	3.95	1.47	mbet
