	Home Team	Away Team	Home Win	Draw	Away Win	site
0	leeds united	burnley	1.82	4.00	4.30	odiBet
1	west ham united	brighton & hove albion	2.46	3.40	3.05	odiBet
2	liverpool	west bromwich albion	1.18	8.40	17.00	odiBet
3	wolverhampton wanderers	tottenham hotspur	3.55	3.25	2.28	odiBet
4	royal antwerp	royal charleroi	2.22	3.40	3.30	odiBet
5	krc genk	waasland-beveren	1.34	5.60	8.20	odiBet
6	rsc anderlecht	k beerschot va	1.69	4.10	4.70	odiBet
7	yellow-red kv mechelen	royal excel mouscron	1.60	4.20	5.40	odiBet
8	gaziantep fk	alanyaspor	2.80	3.45	2.47	odiBet
9	yeni malatyaspor	buyuksehir belediye erzurumspor	1.64	3.95	5.40	odiBet
10	denizlispor	mke ankaragucu	2.38	3.20	3.15	odiBet
11	istanbul basaksehir fk	kasimpasa	1.54	4.60	5.60	odiBet
12	famalicao	gil vicente	2.85	3.05	2.70	odiBet
13	cd nacional madeira	cd tondela	2.02	3.30	3.90	odiBet
14	sporting farense	pacos ferreira	2.85	3.15	2.60	odiBet
15	belenenses sad	sporting cp	7.60	4.40	1.44	odiBet
16	utrecht	az alkmaar	2.80	3.90	2.31	odiBet
17	botafogo fr rj	sc corinthians sp	2.75	3.10	2.65	odiBet
18	ec bahia ba	sc internacional rs	2.85	2.95	2.70	odiBet
19	ks kastrioti kruje	kf laci	3.25	2.90	2.29	odiBet
20	kf teuta	kf tirana	2.14	2.85	3.65	odiBet
21	fk partizani tirana	ks kukesi	2.49	2.80	3.00	odiBet
22	maccabi petah tikva	bnei sakhnin	2.01	3.20	4.00	odiBet
23	ironi kiryat shmona	hapoel kfar saba	2.15	3.15	3.60	odiBet
24	bnei yehuda tel aviv	hapoel be`er sheva	3.60	3.15	2.16	odiBet
